Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
178;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=178;200;2;12
179;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=179;200;1;12
180;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=180;200;4;12
181;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=181;200;2;12
182;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=182;200;1;12
183;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=183;200;3;12
184;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=184;200;1;12
185;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=185;200;2;12
186;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=186;200;2;12
187;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=187;200;9;12
188;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=188;200;3;12
189;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=189;200;1;12
190;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=190;200;1;12
191;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=191;200;2;12
192;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=192;200;3;12
193;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=193;200;2;12
194;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=194;200;6;12
195;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=195;200;1;12
196;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=196;200;3;12
197;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=197;200;1;12
198;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=198;200;1;12
199;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=199;200;3;12
200;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=200;200;1;12
